case_name,cell_index,execution_count,previous_execution_count,was_executed,out_of_order,source_length,line_count,has_import,has_fit,has_predict,has_drop,has_remove,has_transform,has_split,has_dataframe,has_gpu_keyword,source_changed_in_fixed,label
NBspecific_1,1,1,-1,1,0,921,17,1,0,0,0,0,0,0,1,0,0,0
NBspecific_1,2,2,1,1,0,30,1,1,0,0,0,0,0,0,0,0,0,0
NBspecific_1,3,3,2,1,0,51,2,0,0,0,0,0,0,0,1,0,0,0
NBspecific_1,4,-1,3,0,0,12,1,0,0,0,0,0,0,0,1,0,0,0
NBspecific_1,5,4,-1,1,0,117,4,0,0,0,0,0,0,0,1,0,0,0
NBspecific_1,6,5,4,1,0,168,6,0,0,0,0,0,0,0,1,0,0,0
NBspecific_1,7,6,5,1,0,175,6,0,0,0,0,0,0,0,1,0,0,0
NBspecific_1,8,7,6,1,0,192,8,1,0,0,0,0,0,0,1,0,0,0
NBspecific_1,9,-1,7,0,0,1660,68,0,0,0,0,0,0,0,0,0,0,0
NBspecific_1,10,-1,-1,0,0,239,8,0,0,0,0,0,0,0,0,0,0,0
NBspecific_1,11,-1,-1,0,0,62,2,0,0,0,0,0,0,0,0,0,0,0
NBspecific_1,12,-1,-1,0,0,29,1,1,0,0,0,0,0,0,0,0,0,0
NBspecific_1,13,-1,-1,0,0,197,5,0,0,0,0,0,0,0,0,0,0,0
NBspecific_1,14,-1,-1,0,0,196,6,1,0,0,0,0,0,0,0,0,0,0
NBspecific_1,15,-1,-1,0,0,344,13,0,0,0,0,0,0,0,0,0,0,0
NBspecific_1,16,-1,-1,0,0,51,1,0,0,0,0,0,0,0,1,0,0,0
NBspecific_1,17,-1,-1,0,0,399,9,0,0,0,0,0,0,0,0,0,0,0
NBspecific_1,18,-1,-1,0,0,63,2,0,0,0,0,0,0,0,0,0,0,0
NBspecific_1,19,-1,-1,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0
NBspecific_1,20,-1,-1,0,0,88,4,1,0,0,0,0,0,0,0,0,0,0
NBspecific_1,21,-1,-1,0,0,213,5,1,0,0,0,0,0,0,0,0,0,0
NBspecific_1,22,-1,-1,0,0,97,2,0,0,0,0,0,0,0,0,0,0,0
NBspecific_1,23,-1,-1,0,0,274,15,1,0,0,0,0,0,0,0,0,0,0
NBspecific_1,24,-1,-1,0,0,176,5,1,0,0,0,0,0,0,1,0,0,0
NBspecific_1,25,8,-1,1,0,63,2,1,0,0,0,0,0,0,0,0,0,0
NBspecific_1,26,9,8,1,0,151,5,0,0,0,0,0,0,0,1,0,1,1
NBspecific_1,27,-1,9,0,0,193,7,1,0,0,0,0,0,0,0,0,0,0
NBspecific_1,28,10,-1,1,0,180,4,0,0,0,0,0,0,0,1,0,0,0
NBspecific_1,29,-1,10,0,0,248,6,0,0,0,0,0,0,0,1,0,0,0
NBspecific_1,30,-1,-1,0,0,125,3,1,0,0,0,0,1,0,1,0,0,0
NBspecific_1,31,-1,-1,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0
NBspecific_1,32,-1,-1,0,0,149,3,1,0,0,0,0,1,0,1,0,0,0
NBspecific_1,33,-1,-1,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0
NBspecific_1,34,-1,-1,0,0,134,3,1,0,0,0,0,1,0,1,0,1,1
NBspecific_1,35,11,-1,1,0,16,1,0,0,0,0,0,0,0,0,0,0,0
NBspecific_1,36,-1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NBspecific_1,37,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NBspecific_1,38,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NBspecific_1,39,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NBspecific_1,40,-1,-1,0,0,15,1,0,0,0,0,0,0,0,1,0,0,0
NBspecific_1,41,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NBspecific_2,1,1,-1,1,0,660,18,1,0,0,0,0,0,1,0,0,0,0
NBspecific_2,2,-1,1,0,0,1177,20,1,0,0,0,0,0,0,0,0,0,0
NBspecific_2,3,-1,-1,0,0,696,15,0,0,0,0,0,0,0,0,0,0,0
NBspecific_2,4,2,-1,1,0,52,1,0,0,0,0,0,0,0,1,0,0,0
NBspecific_2,5,-1,2,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0
NBspecific_2,6,3,-1,1,0,117,2,0,0,0,0,0,0,0,0,0,0,0
NBspecific_2,7,-1,3,0,0,26,1,0,0,0,0,0,0,0,0,0,0,0
NBspecific_2,8,-1,-1,0,0,111,3,0,0,0,1,0,0,0,0,0,0,0
NBspecific_2,9,-1,-1,0,0,172,6,0,0,0,0,0,0,0,0,0,0,0
NBspecific_2,10,4,-1,1,0,61,2,0,0,0,1,0,0,0,1,0,0,0
NBspecific_2,11,5,4,1,0,9,1,0,0,0,0,0,0,0,0,0,0,0
NBspecific_2,12,-1,5,0,0,25,1,0,0,0,0,0,0,0,0,0,0,0
NBspecific_2,13,-1,-1,0,0,142,3,1,0,0,0,0,0,1,0,0,1,1
NBspecific_2,14,-1,-1,0,0,88,2,1,0,0,0,0,0,0,0,0,0,0
NBspecific_2,15,-1,-1,0,0,514,13,0,0,0,0,0,0,0,0,0,0,0
NBspecific_2,16,-1,-1,0,0,93,1,0,0,0,0,0,0,0,0,0,0,0
NBspecific_2,17,-1,-1,0,0,92,1,0,1,0,0,0,0,0,0,0,0,0
NBspecific_2,18,-1,-1,0,0,29,1,0,0,0,0,0,0,0,0,0,0,0
NBspecific_2,19,-1,-1,0,0,406,12,0,0,0,0,0,0,0,0,0,0,0
NBspecific_2,20,-1,-1,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0
NBspecific_2,21,6,-1,1,0,194,7,1,1,1,0,0,0,0,0,1,1,1
NBspecific_2,22,-1,6,0,0,36,1,0,0,0,0,0,0,0,0,0,0,0
NBspecific_2,23,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NBspecific_2,24,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NBspecific_3,1,1,-1,1,0,950,17,1,0,0,0,0,0,0,1,0,0,0
NBspecific_3,2,2,1,1,0,86,3,0,0,0,0,0,0,0,1,0,0,0
NBspecific_3,3,3,2,1,0,103,2,0,0,0,0,0,0,0,1,0,0,0
NBspecific_3,4,4,3,1,0,131,4,0,0,0,0,0,0,0,1,0,0,0
NBspecific_3,5,5,4,1,0,319,7,1,0,0,0,0,0,1,0,0,0,0
NBspecific_3,6,-1,5,0,0,40,2,0,0,0,0,0,0,0,0,0,0,0
NBspecific_3,7,-1,-1,0,0,50,2,0,0,0,0,0,0,0,0,0,0,0
NBspecific_3,8,6,-1,1,0,173,4,1,1,1,0,0,0,0,0,0,0,0
NBspecific_3,9,7,6,1,0,618,11,1,0,0,0,0,0,0,0,0,0,0
NBspecific_3,10,-1,7,0,0,737,20,0,0,0,0,0,0,0,0,0,0,0
NBspecific_3,11,-1,-1,0,0,582,11,0,1,1,0,0,0,0,0,0,1,1
NBspecific_3,12,8,-1,1,0,650,18,0,0,0,0,0,0,0,0,0,0,0
NBspecific_3,13,-1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NBspecific_4,1,-1,-1,0,0,182,5,1,0,0,0,0,0,0,0,0,0,0
NBspecific_4,2,-1,-1,0,0,444,8,1,0,0,0,0,0,0,1,0,1,1
NBspecific_4,3,-1,-1,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0
NBspecific_4,4,-1,-1,0,0,100,3,0,0,0,1,0,0,0,0,0,0,0
NBspecific_4,5,-1,-1,0,0,280,10,0,0,0,0,0,0,0,0,0,0,0
NBspecific_4,6,1,-1,1,0,723,18,0,0,0,0,0,0,0,0,0,0,0
NBspecific_4,7,-1,1,0,0,316,8,0,0,0,0,0,0,0,0,0,0,0
NBspecific_4,8,-1,-1,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0
NBspecific_4,9,-1,-1,0,0,302,10,0,0,0,0,0,0,0,1,0,0,0
NBspecific_4,10,-1,-1,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0
NBspecific_4,11,-1,-1,0,0,153,4,0,0,0,0,0,0,0,0,0,0,0
NBspecific_4,12,-1,-1,0,0,322,7,0,0,0,0,0,0,0,0,0,0,0
NBspecific_4,13,-1,-1,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0
NBspecific_4,14,-1,-1,0,0,216,3,0,0,0,0,0,0,0,0,0,0,0
NBspecific_4,15,-1,-1,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0
NBspecific_4,16,-1,-1,0,0,501,8,0,0,0,0,0,0,0,1,0,0,0
NBspecific_4,17,-1,-1,0,0,52,2,0,0,0,0,0,0,0,0,0,0,0
NBspecific_4,18,-1,-1,0,0,394,7,0,0,0,0,0,0,0,1,0,0,0
NBspecific_4,19,-1,-1,0,0,51,2,0,0,0,0,0,0,0,0,0,0,0
NBspecific_4,20,-1,-1,0,0,20,1,0,0,0,0,0,0,0,0,0,0,0
NBspecific_4,21,-1,-1,0,0,1378,28,1,0,0,1,0,0,1,0,0,0,0
NBspecific_4,22,-1,-1,0,0,722,18,0,0,0,0,0,0,0,0,0,0,0
NBspecific_4,23,-1,-1,0,0,214,7,0,1,1,0,0,0,0,0,0,0,0
NBspecific_4,24,-1,-1,0,0,163,5,0,0,1,0,0,0,0,0,0,0,0
NBspecific_4,25,-1,-1,0,0,424,14,1,1,1,0,0,0,0,0,0,0,0
NBspecific_4,26,-1,-1,0,0,1020,29,0,1,1,0,0,0,0,0,0,0,0
NBspecific_4,27,-1,-1,0,0,77,2,0,0,0,0,0,0,0,0,0,0,0
NBspecific_4,28,-1,-1,0,0,400,10,0,1,0,0,0,0,0,0,0,0,0
NBspecific_4,29,-1,-1,0,0,66,2,0,0,0,0,0,0,0,0,0,0,0
NBspecific_4,30,-1,-1,0,0,362,12,0,1,1,0,0,0,0,0,0,0,0
NBspecific_4,31,-1,-1,0,0,475,16,1,0,0,0,0,0,0,0,0,0,0
NBspecific_4,32,-1,-1,0,0,424,14,0,0,0,0,0,0,0,0,0,0,0
NBspecific_4,33,-1,-1,0,0,87,3,1,0,0,0,0,0,0,0,0,0,0
